graph_size,avg_in_degree,avg_out_degree,avg_total_degree,density,number_of_wccs
21208.0,33.585486608826855,33.585486608826855,67.17097321765371,0.0015836981472545318,8.5
21207.0,33.584288206724196,33.584288206724196,67.16857641344839,0.0015837163164540316,8.5
21206.0,33.58521173252853,33.58521173252853,67.17042346505706,0.0015838345547054245,8.5
21205.0,33.58151379391653,33.58151379391653,67.16302758783306,0.001583734851627831,8.5
21204.0,33.58147047726844,33.58147047726844,67.16294095453688,0.0015838075025830514,8.5
21203.0,33.58229967457436,33.58229967457436,67.16459934914872,0.0015839213128277688,8.5
21202.5,33.58304642906782,33.58304642906782,67.16609285813564,0.001583993982718278,8.5
21201.0,33.58129333522004,33.58129333522004,67.16258667044008,0.001584023270529247,8.5
21200.0,33.580636792452836,33.580636792452836,67.16127358490567,0.0015840670216733257,8.5
21199.5,33.56324583884786,33.56324583884786,67.12649167769573,0.0015832840663392727,8.5
